"Row.names","logFC","logCPM","PValue","FDR","dko","sko"
"Col15a1",-4.77557643102437,7.70681111514674,1.14124026743864e-263,1.44275594609593e-259,270.5,7403.25
"Slc1a3",-2.1082804626556,8.3014946449252,8.37282803605798e-166,5.29246460159225e-162,2180.25,9402.75
"Gm7809",9.38057154013033,2.87158444636883,1.03715153705122e-124,4.37055657713383e-121,259,0.25
"Lonrf1",-1.99394515261898,7.25109085561948,2.88143673807479e-107,9.10678081068537e-104,1122.25,4471.5
"Gm9855",-7.57609172131469,2.48091874247376,3.53169641730672e-94,8.92954122151832e-91,1,205
"Gm15920",-5.9267463289225,2.52751922358443,1.71763496098505e-89,3.6190568627955e-86,3.25,209.75
"Il1r1",1.49416017962149,6.96421541615481,9.26433388522562e-59,1.67313869967175e-55,3376.25,1198.5
"Mfap4",-1.47023533502308,6.84904258443545,5.3631778439921e-45,8.47516178796852e-42,1122.75,3109.25
"Tmem221",-2.45604831086912,2.9287796024845,4.06739179959111e-44,5.71332968115898e-41,43.25,236.75
"Tdg",2.63353158003399,2.9148492063431,8.00395132765498e-38,1.01185952684214e-34,231.75,37.5
"Gm8116",-6.27387224116262,0.866766995986942,3.58087052173195e-36,4.11539683052139e-33,0.75,65
"Gm11645",4.65928545412308,0.81833080225204,2.59149102552983e-31,2.73013579539567e-28,56.25,2
"Rpl34",-0.904047480236753,7.5026173339857,4.92607278702694e-30,4.79041632104574e-27,2317.5,4338
"Cxcl5",2.92234146651325,4.27556687310791,1.41225075740181e-27,1.27526243393384e-24,618,81.5
"Chil1",2.90572448561273,3.66188663056275,2.88903913916837e-27,2.4348821864911e-24,402,53.5
"Hebp1",-1.25081218283674,5.31951781987048,1.40852455298421e-24,1.11291046242665e-21,433.5,1032.25
"Rpl29",-0.921149124072422,4.82819424358383,4.97414512801195e-23,3.69900839460748e-20,360,681.5
"Rimklb",1.45828306090921,3.33001947447187,4.38902381974621e-20,3.08255772940175e-17,265.5,96.75
"Il1b",2.94029054728571,2.14833454148535,3.08175418809398e-19,2.05050191820443e-16,137.25,17.75
"Calb1",-1.20265319719691,8.13495899940937,3.38689658504748e-18,2.14085733140851e-15,3125.25,7193
"Lcn2",1.17579982944728,8.30261367157293,6.76451028024843e-17,4.07223518870955e-14,8028.25,3553.75
"Asah1",-0.592298621297522,7.86814312564736,7.98156347268564e-17,4.5864966100769e-14,3419,5155.25
"AI429214",1.4933024089976,2.8627486888402,8.4483017540601e-16,4.64362742499251e-13,191.75,68
"Tpm4",-0.536529341669556,8.54582493301263,1.15929736339496e-15,6.10659886168294e-13,5597,8118.75
"Lpl",-1.51337881772703,6.45900223177194,2.99246346337366e-15,1.51322892415879e-12,837.5,2392.25
"Igfbp3",0.937494047848777,7.6696597230404,4.60491733829049e-15,2.23905249964109e-12,4905.25,2560.75
"Cp",1.26853373067536,6.56842975360673,6.6932942148664e-14,3.13394909127189e-11,2456.5,1019.5
"Slc40a1",0.794599297325059,8.76990213927486,7.04223314603628e-14,3.17956826543538e-11,10159,5856.5
"Muc4",1.3651188184102,5.27366522889159,1.46946419076568e-13,6.40585044815855e-11,1017.5,395
"Ppargc1a",-0.862547283980191,4.77446775131303,3.11641205052044e-13,1.31325603808931e-10,355.75,647.5
